seaotter,release,date,time,area,fix_type,fix_qual,latitude,longitude,notes,,,,,
228,1,10/31/2002,14:00,wadd,b,0.5,37.097425,-122.288077,"foraging off Waddell creek, 2 large prey items",,,,,
228,1,11/1/2002,10:00,wadd,r,2,37.098539,-122.287185,Waddell Creek,,,,,
228,1,11/2/2002,11:00,bcl,r,2,37.084342,-122.277774,"Big Creek lumber, active foraging signal",,,,,
228,1,11/3/2002,13:00,wadd,r,2,37.094268,-122.292249,foraging signal,,,,,
228,1,11/5/2002,13:30,wadd,r,2,37.093300,-122.297983,mile offshore at Waddell Creek,,,,,
238,1,5/27/2003,10:40,els,b,0.5,36.814149,-121.756511,Released by boat up slough from five fingers,,,,,
238,1,5/28/2003,14:50,els,b,0.5,36.813397,-121.744900,"foraging, possibly bringing up mu, under RR tressel five fingers",,,,,
238,1,5/29/2003,11:00,els,b,0.5,36.811486,-121.753652,"Foraging on crabs, east of seal bend",,,,,
238,1,5/30/2003,10:20,els,b,0.5,36.813295,-121.770632,foraging on crab west seal bend,,,,,
238,1,5/30/2003,13:00,nmlhr,b,0.5,36.814211,-121.787674,resting under Elkhorn yacht club docks,,,,,
238,1,6/2/2003,11:00,mhar,b,0.5,36.607246,-121.890792,grooming in between boat slips in Monterey harbor,,,,,
238,1,6/3/2003,15:30,mhar,b,0.5,36.608737,-121.892461,feeding by boats,,,,,
238,1,6/4/2003,10:10,npgs,b,0.5,36.606296,-121.875034,"350m offshore. Recorded a few foraging dives, mostly successful. ",,,,,
238,1,6/5/2003,12:55,condos,b,0.5,36.613926,-121.865503,Foraging on sand crabs,,,,,
238,1,6/6/2003,13:00,mhar,b,0.5,36.604724,-121.892909,"hauled out resting on wooden raft directly below Abalonetti's, raft not connected to dock, with sea lions",,,,,
238,1,6/7/2003,14:00,mhar,r,1,36.609304,-121.893141,resting signal from under coastguard pier near Sanctuary boat,,,,,
238,1,6/8/2003,11:50,mhar,b,0.5,36.605200,-121.892369,"Finally got a visual.  u der wharf one, eating mussels and small unk. items off a rope attached to one of the pilings...doesn't look like especially  clean where he is.  at 0950 brought up about 20 size 2c mussels in one armload",,,,,
238,1,6/9/2003,8:00,npgs,b,0.5,36.603902,-121.877056,"foraging on sand crabs mostly, some sand dollars, possibly a few cancer crabs (1-2 paw-sized)",,,,,
238,1,6/10/2003,9:40,npgs,b,0.5,36.606783,-121.893171,"resting in the harbor in kelp, 75 m from shore",,,,,
238,1,6/12/2003,15:49,mhar,b,0.5,36.605325,-121.892474,Foraging on mussels under wharf 1,,,,,
238,1,6/13/2003,14:48,mhar,b,0.5,36.605361,-121.8926198,active swimming,,,,,
238,1,6/14/2003,18:28,mhar,b,0.5,36.604831,-121.892731,"Finally, little guy has hauled himself onto a platform underneath albonetti's with some seal friends. looks healthy and unhurt. doing fine",,,,,
238,1,6/16/2003,14:08,mhar,b,0.5,36.605215,-121.892519,"Very flaked out....reacting when gull goes by, but staying hauled out.",,,,,
238,1,6/17/2003,10:34,mhar,b,0.5,36.607217,-121.893225,resting,,,,,
238,1,6/18/2003,10:16,mhar,r,1,36.605119,-121.892418,I didnt get a visual. did try though. he moved into the harbor before 0945am. i have to get here sooner. signal is strong and steady.,,,,,
238,1,6/19/2003,12:08,mhar,b,0.5,36.605237,-121.892933,resting,,,,,
238,1,6/22/2003,9:44,mhar,b,0.5,36.604804,-121.892873,"Hauled out on small floating dock by abalonetti's restraunt.  fur looks a bit wet on hind back area, but body cindition seems o.k.",,,,,
238,1,6/25/2003,10:24,mhar,r,2,36.604770,-121.892747,"No visual, i know he's in there, hiding. signal get's strong, then disappears. then comes back.",,,,,
238,1,6/28/2003,17:16,mhar,b,0.5,36.605943,-121.893560,"He's right here.  very close,  indeed.  havent seen him this close before. doesnt seem to mind the traffic noise, but i sure do.",,,,,
238,1,6/29/2003,9:33,mhar,r,1,36.604715,-121.892141,Can hear him cracking mussels but moving around amo gst the boat slips cant see him,,,,,
249,1,9/6/2003,12:34,mogl,b,0.5,36.814612,-121.752942,Released near moonglow dairy,,,,,
249,1,9/7/2003,11:58,humb,b,0.5,36.824934,-121.745463,"Below Elkhorn Nursery. Possibly bringing up clams, but not opening.",,,,,
249,1,9/8/2003,13:40,sebe,r,1,36.814523,-121.764284,"Dove, started swimming and exploring. Moving between Seal Bend and Rubis Creek.",,,,,
249,1,9/9/2003,14:00,wilo,b,0.5,36.813028,-121.773981,Moved from FIFI to WILO. 1406 - 3a Cancer crab.,,,,,
249,1,9/10/2003,13:04,dairy,b,0.5,36.814346,-121.753766,"eating mostly shore crabs, maybe 2-3 cancer crabs",,,,,
249,1,9/11/2003,11:45,mogl,b,0.5,36.811872,-121.762191,"foraging along shore among boulders, successful most dives, all small prey",,,,,
249,1,9/12/2003,12:00,rub,r,1,36.817684,-121.75308,"no visuals, probably in channel",,,,,
249,1,9/13/2003,11:40,upda,b,0.5,36.812933,-121.743818,"Attempting to forage. 1140 - body condition = thin.  Ribs and hipbones visible, spine not as much, fur ok. 1145 - ate shore crabs x2 ~1c size.",,,,,
249,1,9/14/2003,12:30,sebe,b,0.5,36.816057,-121.768648,"Collected forage data 1225-1406, Seal Bend.",,,,,
249,1,9/15/2003,11:20,mogl,b,0.5,36.811822,-121.762658,Foraging bout - 98 dives,,,,,
249,1,9/17/2003,8:54,mogl,b,0.5,36.812056,-121.761358,resting,,,,,
249,1,9/18/2003,12:00,mogl,b,0.5,36.81168,-121.762824,foraging,,,,,
249,1,9/20/2003,15:25,yamp,r,2,36.816157,-121.74663,"In elk. slgh reserve overlooking 5 fngrs.no visual, signal is stronger over here. intermitent. boat would be best.",,,,,
249,1,9/22/2003,16:37,sebe,r,1,36.815883,-121.765216,"Some movement in the signal, but more or less steady...probably not moving",,,,,
249,1,9/27/2003,16:02,sebe,r,2,36.816079,-121.765913,"Arrived aftr 1400. p/up strong signal and very brief flash of orange tag from him. then disappeared. lm on north nursury side, close to waters edge. now getting weak intermittent, signal. nothing like when i first got here.",,,,,
249,1,10/1/2003,10:25,mogl,b,0.5,36.81494,-121.749716,Had been resting closer to moonglow dairy but woke up and is now quickly swimming up to five fingers.,,,,,
252,1,10/14/2003,14:04,5fing,b,0.5,36.816462,-121.747899,released near five fingers,,,,,
252,1,10/15/2003,8:01,humb,b,0.5,36.827310,-121.745103,Below Elkhorn Nursery. is suckling still off and on.,,,,,
252,1,10/16/2003,15:00,wilo,b,0.5,36.812072,-121.781794,Ate 3 prey items on 60-70 recorded dives. Fair amount of stress related behavior. ,,,,,
252,1,10/17/2003,11:00,upda,b,0.5,36.815094,-121.750131,"More successful foraging - 25-30% of dives successful, mostly small shore crabs.",,,,,
252,1,10/18/2003,11:00,yamp,r,3,36.811974,-121.749897,unable to determine behavior or get visuals,,,,,
252,1,10/20/2003,11:00,yamp,b,0.5,36.814689,-121.747241,"ho in pickleweed, some grooming observed",,,,,
252,1,10/21/2003,13:00,wilo,b,0.5,36.812120,-121.777755,"Initially 30% of dives successful. 2 large Cancer crabs stolen by subadult male. Last 20 dives, found 10 2-paw Cancer crabs. ",,,,,
252,1,10/22/2003,11:00,yamp,r,3,36.810848,-121.752989,Yampah Channels,,,,,
252,1,10/23/2003,12:00,yamp,b,0.5,36.812090,-121.753320,ho on bank,,,,,
252,1,10/25/2003,8:00,yamp,r,2,36.811764,-121.751379,active in channels,,,,,
252,1,10/26/2003,14:04,yamp,b,0.5,36.812245,-121.753523,interacting with 249-03,,,,,
252,1,10/29/2003,8:55,yamp,r,2,36.811833,-121.750958,Possibly hauled out.  steady resting signal.,,,,,
252,1,10/31/2003,14:34,yamp,v,0.5,36.812507,-121.753266,Otter entered water as we approached.  hauled out when we left.,,,,,
252,1,11/3/2003,16:53,kirb,b,0.5,36.836042,-121.741413,"Recorded some forage dives.  he was out of view for much of the time, but when visible appeared to be sucessful in getting orey.  ate a size 3a ca cer crab during this observation.",,,,,
269,1,3/2/2004,11:20,humb,b,0.5,36.819463,-121.745614,Released by boat upslough from Parson's Slough RR bridge.,,,,,
269,1,3/3/2004,8:50,mogl,b,0.5,36.816199,-121.761269,Resting back channel East of seal bend,,,,,
269,1,3/4/2004,11:00,sebe,b,0.5,36.816397,-121.768762,Swim back up slough.  (End of forage bout - 9:59a-10:54a.),,,,,
269,1,3/5/2004,10:20,mogl,b,0.5,36.813290,-121.761215,"Just east of Seal Bend, active traveling, foraging",,,,,
269,1,3/6/2004,12:57,mogl,b,0.5,36.812143,-121.761363,"Along rock jetty in front of dairy, grooming.",,,,,
269,1,3/7/2004,11:15,wilo,b,0.5,36.811491,-121.779350,"grooming,  old PG&E outflow across from WILO",,,,,
269,1,3/8/2004,10:00,mogl,b,0.5,36.811957,-121.762282,"50% of dives successful, recorded 3hr forage bout.",,,,,
269,1,3/9/2004,13:30,mogl,b,0.5,36.811888,-121.761763,"Foraging 75-80% successful, primarily eating mussels off jetty at MOGL",,,,,
269,1,3/10/2004,9:10,mogl,b,0.5,36.813335,-121.757727,"Traveling up slough towards 5 fingers, ribs visible",,,,,
269,1,3/11/2004,14:47,mbari,a,1,36.802443,-121.789509,"Possibly foraging ocean side? Boat got visual 0.5 miles offshore near buoy, active travel, maybe some dives",,,,,
269,1,3/12/2004,15:30,mogl,b,0.5,36.811738,-121.762447,Foraging at jetty at MOGL.,,,,,
269,1,3/14/2004,11:00,sebe,r,1,36.818212,-121.765909,"Very good signal but cannot see him.  Picking signal up channel leading behind seal bend.  many kayaks in the area,",,,,,
269,1,3/15/2004,12:15,jtty,b,0.5,36.810221,-121.785300,Was foraging from 08:30 until just now (1215).  recorded dives on forage data sheet from 9:36 to 12:15. 15 of 51 dives successful with Cancer crabs.,,,,,
269,1,3/18/2004,14:11,mlsb,a,1,36.820786,-121.806847,"MLSB 950m offshore. UTM:  606409, 4075644",,,,,
269,1,3/19/2004,14:00,susb,a,1,36.890081,-121.851580,sunset beach (offshore) 0.8 sm,,,,,
269,1,3/20/2004,14:00,srsb,a,1,36.749834,-121.814068,Marina Sand Plant (offshore),,,,,
269,1,3/24/2004,10:47,wilo,a,1,36.812345,-121.780852,"Very fast pass by.  around bridge, unknown behavior",,,,,
269,1,3/26/2004,15:17,sebe,v,0.5,36.814304,-121.768563,"West Seal Bend, foraging 75m offshore",,,,,
269,1,4/1/2004,9:59,jtty,b,0.5,36.810543,-121.784869,"Highway 1 bridge, foraging",,,,,
286,1,10/5/2004,12:25,upda,b,0.5,36.816360,-121.748360,Released near Parson's RR bridge,,,,,
286,1,10/6/2004,14:20,pars,b,0.5,36.810158,-121.743243,On other side of RR tracks. Brief interaction with otter suspected to be Bolter,,,,,
286,1,10/7/2004,15:30,wilo,b,0.5,36.812579,-121.779831,"Foraging: 2-2.5 paw cancer crab, low fog.",,,,,
286,1,10/8/2004,12:30,wilo,b,0.5,36.814739,-121.778530,In back channels across from PG & E intakes,,,,,
286,1,10/9/2004,13:30,wilo,b,0.5,36.812249,-121.780688,"East of hwy 1 bridge, successful foraging on Cancer crabs",,,,,
286,1,10/10/2004,13:00,wilo,b,0.5,36.812574,-121.775872,"observed 25 dives over 1hr 20min. Ate 11 2-3 paw Cancer crabs, 2-3 small crabs (shore crabs?).",,,,,
286,1,10/11/2004,11:40,wilo,b,0.5,36.812973,-121.778698,"foraging on cancer crabs, same habitat as Sunday",,,,,
286,1,10/12/2004,12:55,wilo,b,0.5,36.814029,-121.779269,resting in small side channel behind wilo,,,,,
286,1,10/13/2004,15:00,wilo,b,0.5,36.811645,-121.782732,"foraging in main channel, between highway 1 bridge and wilo",,,,,
286,1,10/14/2004,10:24,wilo,b,0.5,36.814767,-121.778540,"resting, mom/pup pair, 271, & 1 juvenile nearby in back channel.",,,,,
286,1,10/15/2004,10:02,wilo,b,0.5,36.814352,-121.778665,"hauled out, backchannel behind observation platform",,,,,
286,1,10/17/2004,15:00,zumb,r,1,36.840294,-121.825129,"resting, 1 mile off Zmudowski State Beach",,,,,
286,1,10/18/2004,15:30,susb,r,2,36.887217,-121.837809,Recorded forage data for about an hour.   long dives and some long surface times.  no visual ever obtained..,,,,,
286,1,10/19/2004,11:21,jtty,b,0.5,36.807122,-121.790489,Hunkered down beside rock jetty inside harbor channel trying to rest but storm is blowing her around.,,,,,
286,1,10/20/2004,10:34,jtty,b,0.5,36.810258,-121.788342,start grooming by jetty beach.,,,,,
286,1,10/21/2004,12:45,nhml,b,0.5,36.811655,-121.787577,foraging,,,,,
286,1,10/25/2004,9:58,jtty,r,2,36.806548,-121.791278,foraging,,,,,
286,1,10/27/2004,8:40,shml,r,2,36.803365,-121.784970,unknown,,,,,
286,1,10/31/2004,14:46,shml,r,1,36.802246,-121.785904,"Foraging somewher amongst the boat docks of south harbor.  great signal, but cannot see her.",,,,,
286,1,11/3/2004,11:46,shml,r,1,36.804034,-121.784957,foraging,,,,,
286,1,11/4/2004,11:10,jtty,r,1,36.810850,-121.786906,foraging,,,,,
286,1,11/5/2004,11:13,shml,a,1,36.805166,-121.784398,foraging,,,,,
315,1,6/20/2005,12:00,els,b,1,36.816552,-121.746157,released,,,,,
315,1,6/21/2005,15:30,srsb,a,1,36.750675,-121.862098,3 west of Salinas River mouth,,,,,
315,1,6/21/2005,18:48,srsb,a,1,36.755713,-121.932747,7 W of Salinas River mouth,,,,,
315,1,6/22/2005,10:22,srsb,a,1,36.750738,-121.930346,7 W of Salinas River mouth,,,,,
315,1,6/23/2005,11:12,ppw,a,1,36.712763,-122.018398,7 NW Pt. Pinos,,,,,
315,1,6/23/2005,15:15,ppw,b,0.5,36.637074,-121.974897,recaptured: Karl M. and Teri N. 2 mi W of Pt. Pinos,,,,,
315,2,7/5/2005,12:00,els,b,0.5,36.816737,-121.745928,second release,,,,,
315,2,7/6/2005,11:08,srsb,b,0.5,36.779129,-121.797896,foraging in surf zone,,,,,
315,2,7/8/2005,10:46,mogl,b,0.5,36.813991,-121.761499,active swimming,,,,,
315,2,7/12/2005,12:31,srsb,b,0.5,36.798153,-121.794276,resting,,,,,
315,2,7/14/2005,14:40,wilo,b,0.5,36.812423,-121.779141,Foraging primarily on crab,,,,,
315,2,7/15/2005,11:00,srsb,r,3,36.794352,-121.796178,Potrero Rd,,,,,
315,2,7/17/2005,10:59,srsb,r,3,36.773732,-121.80079,"resting, Monterey Dunes Colony north",,,,,
315,2,7/18/2005,15:24,jtty,b,0.5,36.808179,-121.787888,"foraging, headed up slough",,,,,
327,1,10/17/2005,11:25,els,b,0.5,36.816429,-121.745698,released near five-fingers,,,,,
327,1,10/18/2005,14:25,mlsb,b,0.5,36.806318,-121.948081,14km off moss lnding harbor.,,,,,
327,2,11/14/2005,12:00,els,b,0.5,36.817971,-121.745383,released in Elkhorn Slough,,,,,
327,2,11/15/2005,14:45,susb,b,0.5,36.86829,-121.8317201,"Since 1200, slowly travelling north along coast, foraging, not successful",,,,,
327,2,11/15/2005,16:05,susb,b,0.5,36.857505,-121.818276,"Vocal, swimming",,,,,
327,2,11/16/2005,11:00,mbac,,0.5,36.896186,-121.926279,swimming,,,,,
327,2,11/17/2005,11:00,mbari,b,0.5,36.803296,-121.79031,"recaptured, came into surf zone, body weight down 21/1%",,,,,
327,3,12/3/2005,12:00,els,b,0.5,36.814766,-121.745352,release near five-fingers,,,,,
327,3,12/4/2005,9:16,shml,b,0.5,36.800159,-121.784349,Resting; 928 spooked; 934 grooms; staying close to adult male,,,,,
327,3,12/5/2005,15:10,susb,b,0.5,36.877012,-121.894324,"5.5 km off Sunset State beach, travelling north, long dives, short suface times",,,,,
327,3,12/6/2005,10:21,wilo,r,2,36.816214,-121.776437,Signal coming from channels behind wildlife viewing platform...no sign of het though.,,,,,
327,3,12/7/2005,10:49,sebe,b,0.5,36.813934,-121.769774,foraging,,,,,
327,3,12/7/2005,12:09,jtty,b,0.5,36.809818,-121.787253,foraging,,,,,
327,3,12/8/2005,11:30,sebe,b,0.5,36.812721,-121.764414,foraging on shore and cancer crab,,,,,
327,3,12/9/2005,8:55,wilo,r,1,36.816085,-121.775971,resting,,,,,
327,3,12/9/2005,15:36,wilo,r,1,36.814442,-121.776024,In back channels on north side; decent dives w/decent surface tmes,,,,,
327,3,12/9/2005,16:23,wilo,b,0.5,36.813075,-121.778176,"inactive grooming, avoided boat approach",,,,,
327,3,12/10/2005,8:30,wilo,r,1,36.814809,-121.778445,In channel near wildlife platform,,,,,
327,3,12/12/2005,11:25,sebe,r,1,36.817373,-121.769936,"Signal sounded like she was resting, but not out in open in main channel",,,,,
327,3,12/13/2005,8:15,wilo,b,0.5,36.813145,-121.778794,"can't id prey thru binocs, 2 gulls trail her post dives. foraging in conistent area.",,,,,
327,3,12/14/2005,15:25,wilo,b,0.5,36.811989,-121.781846,Looks thin,,,,,
327,3,12/15/2005,11:00,wilo,r,2,36.812894,-121.773473,foraging,,,,,
327,3,12/19/2005,9:49,wilo,r,2,36.813525,-121.774466,"Active, with decent signal, hard to tell if she is in main channel or smallwr channel.",,,,,
327,3,12/20/2005,10:06,wilo,r,2,36.812778,-121.778095,"foraging, quite a few otters over in main channel, but we don't have access to wlv this morning.",,,,,
327,3,12/21/2005,11:56,sebe,b,0.5,36.813142,-121.765156,"resting, east side of Seal Bend",,,,,
339,1,4/25/2006,10:20,humb,b,0.5,36.814712,-121.745328,released near five fingers,,,,,
339,1,4/26/2006,15:30,packr,b,0.5,36.821194,-121.751686,"0.5 miles from main channel in marsh below Packard ranch, lethargic, bite wounds",,,,,
339,1,4/27/2006,14:00,humb,b,0.5,36.821197,-121.751749,recaptured frm pond area; brought back to mba; out since 4/27/06; serious bites to nose and under left eye; very aggressive,,,,,
339,2,6/7/2006,10:30,ffngs,b,0.5,36.816134,-121.745558,released at five fingers,,,,,
339,2,6/8/2006,11:15,ffngs,b,0.5,36.813279,-121.745219,"visual near five fingers RR bridge, foraging, overall behavior calm",,,,,
339,2,6/9/2006,11:30,packr,b,0.5,36.824564,-121.751979,"TN and EL picked up in horse pasture, multiple bite wounds, covered in ticks.",,,,,
339,3,7/5/2006,10:30,upda,b,0.5,36.816143,-121.74967,released near east entrance Rubis Creek,,,,,
339,3,7/6/2006,10:30,sebe,b,0.5,36.816134,-121.765121,grooming in group of 12,,,,,
339,3,7/7/2006,10:50,sebe,b,0.5,36.813723,-121.77089,"foraging near entrance to Morgan's channel. Holding unk item- small crab or shell,divi g with it.",,,,,
339,3,7/8/2006,10:50,wilo,b,0.5,36.813523,-121.77499,foraging,,,,,
339,3,7/9/2006,11:00,wilo,v,0.5,36.813545,-121.775304,foraging,,,,,
339,3,7/10/2006,14:36,sebe,r,2,36.816088,-121.768694,"Active signal, prob. travelling/grooming",,,,,
339,3,7/12/2006,11:01,wilo,b,0.5,36.813972,-121.774408,resting in Morgan's Channel,,,,,
339,3,7/13/2006,14:11,wilo,b,0.5,36.813951,-121.775567,resting in channel since we caught signal @ 1300,,,,,
339,3,7/14/2006,9:48,sebe,b,0.5,36.813915,-121.770994,"resting main channel, Seal Bend",,,,,
339,3,7/17/2006,14:55,wilo,b,0.5,36.813971,-121.774412,resting in Morgan's channel,,,,,
339,3,7/18/2006,11:12,wilo,b,0.5,36.813896,-121.774452,"resting in Morgan's channel, south side of channel",,,,,
339,3,7/21/2006,10:20,jtty,b,0.5,36.808831,-121.787106,swimming,,,,,
344,1,6/19/2006,12:00,upda,b,0.5,36.813644,-121.759228,released across from dairy,,,,,
344,1,6/20/2006,12:00,sebe,b,0.5,36.815597,-121.764354,"swimming, maybe some pacing",,,,,
344,1,6/21/2006,12:51,sebe,b,0.5,36.815268,-121.766041,inactive groom in eel grass,,,,,
344,1,6/21/2006,14:10,sebe,b,0.5,36.816071,-121.765715,"resting in raft of 12-15 otters, no foraging observed today, some pacing",,,,,
344,1,6/22/2006,12:00,rubc,b,0.5,36.817153,-121.762247,"foraging in Rubis creek, green crabs, shore crabs, some mussels from culverts",,,,,
344,1,6/23/2006,10:20,rubc,r,1,36.817317,-121.755287,signal in channels near Packard ranch (from seal bend),,,,,
344,1,6/24/2006,13:20,sebe,b,0.5,36.812963,-121.763758,"foraging in main channel at seal bend, saw him eat a large gaper clam, shore crabs",,,,,
344,1,6/25/2006,10:36,sebe,b,0.5,36.816209,-121.768017,swimming,,,,,
344,1,6/26/2006,10:58,wilo,b,0.5,36.813008,-121.772282,"grooming, main channel, near seal bend",,,,,
344,1,6/27/2006,10:00,sebe,b,0.5,36.814165,-121.763889,resting at east end of seal bend,,,,,
344,1,6/28/2006,10:37,sebe,b,0.5,36.815066,-121.764408,resting,,,,,
