"","year","month","FoodType","prop_foodtype_month_sum"
"91",2011,11,"Live",0.378790799185128
"92",2011,11,"Supplemental",0.621209200814872
"93",2011,12,"Live",0.574089142030558
"94",2011,12,"Supplemental",0.425910857969442
"95",2012,7,"Live",0.58776867155527
"96",2012,7,"Supplemental",0.41223132844473
"97",2012,8,"Live",0.594475884787567
"98",2012,8,"Supplemental",0.405524115212433
"99",2012,9,"Live",0.531239668692889
"100",2012,9,"Supplemental",0.468760331307111
"101",2012,10,"Live",0.356013240161824
"102",2012,10,"Supplemental",0.643986759838176
"103",2013,3,"Live",0.412457838713917
"104",2013,3,"Supplemental",0.587542161286083
"105",2013,4,"Live",0.356791062992691
"106",2013,4,"Supplemental",0.643208937007309
"107",2013,10,"Live",0.252449445876393
"108",2013,10,"Supplemental",0.747550554123606
"109",2013,11,"Live",0.445794647733479
"110",2013,11,"Supplemental",0.554205352266521
"111",2014,2,"Live",0.351553566177672
"112",2014,2,"Supplemental",0.648446433822328
"113",2014,3,"Live",0.335549766931725
"114",2014,3,"Supplemental",0.664450233068275
"115",2014,8,"Live",0.454915137146536
"116",2014,8,"Supplemental",0.545084862853464
"117",2014,9,"Live",0.4499097697058
"118",2014,9,"Supplemental",0.5500902302942
"119",2014,11,"Live",0.443002875530604
"120",2014,11,"Supplement",0.556997124469396
"121",2014,12,"Live",0.522610192269153
"122",2014,12,"Supplement",0.477389807730847
"123",2015,3,"Live",0.572921551550881
"124",2015,3,"Supplemental",0.427078448449119
"125",2015,4,"Live",0.470023456963494
"126",2015,4,"Supplemental",0.529976543036507
"127",2015,6,"Live",0.328919051734364
"128",2015,6,"Supplemental",0.671080948265636
"129",2015,7,"Live",0.34585289514867
"130",2015,7,"Supplemental",0.65414710485133
"131",2015,8,"Live",0.45402377608003
"132",2015,8,"Supplemental",0.54597622391997
"133",2015,9,"Live",0.371018734992049
"134",2015,9,"Supplemental",0.628981265007951
"135",2015,10,"Live",0.532574870030021
"136",2015,10,"Supplemental",0.467425129969979
"137",2017,2,"Live",0.629642153626502
"138",2017,2,"Supplemental",0.370357846373498
"139",2017,3,"Live",0.680031637091939
"140",2017,3,"Supplemental",0.319968362908061
"141",2017,7,"Live",0.527132161152915
"142",2017,7,"Supplemental",0.472867838847085
"143",2017,8,"Live",0.480208432928578
"144",2017,8,"Supplemental",0.519791567071422
"145",2018,1,"Live",0.475036131914335
"146",2018,1,"Supplemental",0.524963868085666
"147",2018,2,"Live",0.535436912149241
"148",2018,2,"Supplemental",0.464563087850759
"149",2018,8,"Live",0.485917719344064
"150",2018,8,"Supplemental",0.514082280655936
"151",2018,9,"Live",0.528937434148873
"152",2018,9,"Supplemental",0.471062565851128
"153",NA,NA,"Live",0.495365517784968
"154",NA,NA,"Supplement",0.0368575861130753
"155",NA,NA,"Supplemental",0.467776896101957
