,X.3,X.2,X.1,X.x,seaotter,scale,sex,relyear,relmonth,relsiteATOS,relage_d,strandage_d,strandsiteATOS,rel_date_real,mean_daily_ehs_sst,condition,days_in,relyear_first,surrogate,outcome,max_relnum,sst_loess_pred,sst_loess_se,sst_loess_resid,pdo_loess_pred,pdo_loess_se,pdo_loess_resid,enso_loess_pred,enso_loess_se,enso_loess_resid,date.x,mei_rank,pdo_index,scale_loess_pred,scale_loess_se,scale_loess_resid,X.y,FoodType.x,prop_foodtype_otter_sum.x,X,FoodType.y,prop_foodtype_otter_sum.y,percentlive,date_rel,date.y,med_d_wspd,wspd_loess_pred,wspd_loess_se,wspd_loess_resid,med_d_wvht,wvht_loess_pred,wvht_loess_se,wvht_loess_resid,dens.sm,pupratio,X5yrtrend
17,17,17,17,17,433,0.010822753,f,2008,11,321,268,42,467,10/28/2008,NA,0.587848325,226,2008,Maggie,success,1,NA,NA,NA,-0.666707171,0.121159388,-0.583292829,28.34314149,2.393813599,-9.343141494,10/28/2008,19,-1.25,0.597659133,0.33510118,-0.58683638,16,Live,0.321291306,17,Live,0.321291306,32.12913062,10/28/2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.63416,0.031689,0.083834
18,18,18,18,18,451,0.780625795,m,2009,7,321,303,14,273,7/20/2009,15.45520833,0.569181105,289,2009,Toola,success,2,13.5146666,0.043532854,1.94054173,-0.759441376,0.11859781,0.229441376,26.77922688,2.45219091,33.22077312,7/20/2009,60,-0.53,0.606139359,0.320096677,0.174486436,17,Live,0.440019529,18,Live,0.440019529,44.00195292,7/20/2009,7/20/2009,6,4.946552029,0.254287292,1.053447971,1.79,1.468817152,0.08092716,0.321182848,16.617605,0.045625,0.055894
19,19,19,19,19,457,1.697674491,f,2009,12,321,328,14,427,12/20/2009,12.83333333,0.524056882,314,2009,Joy,success,3,13.50679422,0.044418646,-0.673460883,-0.802718234,0.121403856,0.882718234,26.4685075,2.401817345,30.5314925,12/20/2009,57,0.08,0.621215436,0.320096677,1.076459055,18,Live,0.567978659,19,Live,0.567978659,56.79786591,12/20/2009,12/20/2009,2.95,5.556019584,0.245628168,-2.606019584,1.785,2.603366315,0.083081428,-0.818366315,16.617605,0.045625,0.055894
20,20,20,20,20,466,0.60280179,m,2010,3,321,361,35,812,3/26/2010,13.56770833,0.641886133,326,2010,Rosa,success,1,13.50332563,0.04495231,0.064382707,-0.836247146,0.119802442,1.276247146,26.42507445,2.427226215,37.57492555,3/26/2010,64,0.44,0.644092733,0.33510118,-0.041290943,19,Live,0.499391105,20,Live,0.499391105,49.93911053,3/26/2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.80986,0.054052,0.010476
21,21,21,21,21,473,0.108885631,f,2010,6,321,280,14,409,6/22/2010,13.86458333,0.583807033,266,2010,Mae,success,1,13.4895617,0.044143655,0.375021632,-0.878206112,0.118419528,0.658206112,26.49068126,2.456692815,-6.490681263,6/22/2010,20,-0.22,0.675976619,0.345489093,-0.567090987,20,Live,0.498594047,21,Live,0.498594047,49.85940465,6/22/2010,6/22/2010,5.65,6.064774057,0.248110202,-0.414774057,2.1,1.87287808,0.080589076,0.22712192,14.80986,0.054052,0.010476
22,22,22,22,22,475,0.569759461,f,2010,11,321,368,1,897,11/2/2010,14.12708333,0.61910767,367,2010,Rosa,success,2,13.45755879,0.043552565,0.669524541,-0.920376686,0.121159388,0.100376686,26.5818884,2.400172639,-22.5818884,11/2/2010,4,-0.82,0.736289826,0.336495748,-0.166530364,21,Live,0.460784212,22,Live,0.460784212,46.07842116,11/2/2010,11/2/2010,6.1,5.155997263,0.253732957,0.944002737,2.385,2.326045302,0.084597645,0.058954698,14.80986,0.054052,0.010476
23,23,23,23,23,501,0.28066687,f,2011,5,321,335,3,810,5/8/2011,13.53645833,0.605164267,332,2011,Toola,success,2,13.45313277,0.044948643,0.083325565,-0.950038539,0.11859781,0.580038539,26.93131127,2.440921474,-3.931311269,5/8/2011,23,-0.37,0.813182419,0.336495748,-0.532515549,22,Live,0.425989199,23,Live,0.425989199,42.59891987,5/8/2011,5/8/2011,4.5,6.872000153,0.253732957,-2.372000153,1.25,2.315456996,0.084056011,-1.065456996,19.26685913,0.0661415,-0.004722
24,24,24,24,24,518,0.022336334,f,2011,12,321,414,3,723,12/8/2011,11.13333333,0.601135841,411,2011,Joy,success,2,13.44741417,0.043523885,-2.314080837,-0.952521121,0.121403856,-0.837478879,27.73673245,2.400172639,-14.73673245,12/8/2011,13,-1.79,0.860950766,0.345489093,-0.838614432,23,Live,0.363223112,24,Live,0.363223112,36.32231118,12/8/2011,12/8/2011,4.75,5.605016523,0.242939337,-0.855016523,1.005,2.427623088,0.084234674,-1.422623088,19.26685913,0.0661415,-0.004722
25,25,25,25,25,520,2.828699618,m,2011,10,321,326,42,822,10/12/2011,16.31875,0.640630693,284,2011,Rosa,success,1,13.45062301,0.043532854,2.868126987,-0.977330249,0.120556683,-0.362669751,27.63670423,2.426296863,-13.63670423,10/12/2011,14,-1.34,0.867242405,0.336495748,1.961457213,24,Live,0.42936616,25,Live,0.42936616,42.93661597,10/12/2011,10/12/2011,7.85,5.04124358,0.242448916,2.80875642,3.095,2.106530174,0.081503325,0.988469826,19.26685913,0.0661415,-0.004722
26,26,26,26,26,526,0.022353213,m,2011,11,321,319,42,916,11/14/2011,12.76145833,0.579591042,277,2011,Mae,success,1,13.4483286,0.043464544,-0.686870268,-0.968715388,0.121159388,-1.361284612,27.69422447,2.411728753,-11.69422447,11/14/2011,16,-2.33,0.860730468,0.336495748,-0.838377255,25,Live,0.434248512,26,Live,0.434248512,43.42485124,11/14/2011,11/14/2011,8.55,5.285274047,0.252724045,3.264725953,2.185,2.32616002,0.081019587,-0.14116002,19.26685913,0.0661415,-0.004722
27,27,27,27,27,558,1.146193929,m,2012,8,321,360,35,184,8/8/2012,16.553125,0.640799371,325,2012,Rosa,success,2,13.55582786,0.044550855,2.997297143,-0.760112216,0.119094845,-1.169887784,28.93187678,2.456692815,19.06812322,8/8/2012,48,-1.93,0.857249719,0.345489093,0.28894421,26,Live,0.589106284,27,Live,0.589106284,58.91062841,8/8/2012,8/8/2012,11.35,6.048424655,0.244157109,5.301575345,1.965,1.732746681,0.084559414,0.232253319,19.519637,0.078231,-0.01992
28,28,28,28,28,587,0.949034643,f,2012,10,321,205,7,920,10/2/2012,15.4875,0.588868177,198,2012,Rosa,success,3,13.63027406,0.043934876,1.857225941,-0.697888112,0.120556683,-0.092111888,30.0805118,2.440921474,5.919488199,10/2/2012,36,-0.79,0.843010052,0.335340016,0.106024592,27,Live,0.526142008,28,Live,0.526142008,52.61420076,10/2/2012,10/2/2012,5.4,5.713449315,0.250604924,-0.313449315,1.69,1.818675514,0.080264094,-0.128675514,19.519637,0.078231,-0.01992
29,29,29,29,29,595,1.368325322,f,2013,4,321,295,7,806,4/17/2013,12.39791667,0.600383161,288,2013,Mae,success,4,13.94899823,0.044338911,-1.551081567,-0.378101454,0.118301473,0.218101454,36.09441433,2.400172639,-2.094414335,4/17/2013,34,-0.16,0.807796925,0.319041848,0.560528398,NA,NA,NA,29,Live,0.384391515,38.43915152,4/17/2013,4/17/2013,8.6,7.259840616,0.25428652,1.340159384,2.995,2.174799673,0.083481179,0.820200327,24.92832,0.084881,0.049576
30,30,30,30,30,621,1.087781125,m,2013,11,321,309,35,233,11/4/2013,13.16354167,0.621310909,274,2013,Rosa,success,2,14.20496325,0.044031567,-1.041421583,0.160416627,0.115739639,-0.270416627,41.51827381,2.437349001,-6.518273806,11/4/2013,35,-0.11,0.772808451,0.314009622,0.314972674,28,Live,0.273026483,30,Live,0.273026483,27.30264831,11/4/2013,11/4/2013,9.85,5.373267437,0.24605228,4.476732563,3.715,1.718772207,0.086562246,1.996227793,24.92832,0.084881,0.049576
31,31,31,31,31,623,0.656076719,m,2014,3,321,381,2,823,3/11/2014,13.99895833,0.65965665,379,2014,Abby,success,2,14.4225508,0.043574587,-0.423592462,0.332506793,0.114611341,0.637493207,44.62856781,2.362517635,-8.628567814,3/11/2014,36,0.97,0.759242743,0.321756388,-0.103166024,29,Live,0.346387875,31,Live,0.346387875,34.63878748,3/11/2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.80705297,0.11348,0.11140781
32,32,32,32,32,653,0.01,f,2014,9,321,305,42,908,9/27/2014,17.23958333,0.583079732,263,2014,Kit,success,1,14.64534378,0.044878447,2.594239554,0.61654155,0.111873606,0.46345845,48.12420781,2.336784292,0.875792187,9/27/2014,49,1.08,0.788297914,0.326937503,-0.778297914,30,Live,0.451211545,32,Live,0.451211545,45.12115446,9/27/2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.80705297,0.11348,0.11140781
33,33,33,33,33,657,0.16889069,f,2014,12,321,330,14,387,12/27/2014,13.953125,0.609577779,316,2014,Rosa,success,1,14.66968004,0.043982751,-0.716555037,0.722770704,0.109833348,1.787229296,48.72598679,2.316409002,-0.725986791,12/27/2014,48,2.51,0.849539633,0.322105506,-0.680648943,31,Live,0.510916679,33,Live,0.510916679,51.09166792,12/27/2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.80705297,0.11348,0.11140781
34,34,34,34,34,671,0.014873183,f,2015,5,321,308,3,909,4/29/2015,14.11145833,0.593069845,305,2015,Abby,success,1,14.67166421,0.042868591,-0.560205877,0.866914217,0.106269745,0.333085783,49.37906208,2.272171541,13.62093792,4/29/2015,63,1.2,0.923325996,0.314354822,-0.908452813,32,Live,0.483853395,34,Live,0.483853395,48.38533952,4/29/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.70641,0.127711,0.122387
35,35,35,35,35,673,1.670837605,m,2015,7,321,362,3,730,7/14/2015,18.41354167,0.629987532,359,2015,Gidget,success,3,14.6678399,0.042589295,3.745701767,0.922497199,0.105400715,0.917502801,49.46697445,2.251367103,18.53302555,7/14/2015,68,1.84,1.017043754,0.305756942,0.653793851,33,Live,0.336337494,35,Live,0.336337494,33.63374944,7/14/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.70641,0.127711,0.122387
36,36,36,36,36,685,1.903354369,f,2015,9,321,340,42,247,9/22/2015,17.94791667,0.593395575,298,2015,Ivy,success,1,14.66887145,0.042293674,3.279045215,0.972132066,0.105017428,0.967867934,49.42969343,2.225801077,18.57030657,9/22/2015,68,1.94,1.138079655,0.298611589,0.765274714,34,Live,0.408143423,36,Live,0.408143423,40.81434232,9/22/2015,9/22/2015,5.85,5.73178468,0.240197585,0.11821532,2.385,1.841994659,0.07352392,0.543005341,34.70641,0.127711,0.122387
37,37,37,37,37,687,0.977435741,m,2015,10,321,335,14,808,10/27/2015,16.87291667,0.653333025,321,2015,Kit,success,4,14.67203198,0.042032373,2.200884688,0.993726722,0.105054093,0.476273278,49.35865649,2.210428393,18.64134351,10/27/2015,68,1.47,1.293820449,0.296836568,-0.316384708,35,Live,0.501639485,37,Live,0.501639485,50.16394847,10/27/2015,10/27/2015,6.05,6.200159797,0.23841513,-0.150159797,1.77,2.350584433,0.080118831,-0.580584433,34.70641,0.127711,0.122387
38,38,38,38,38,716,1.062854637,f,2017,3,321,508,1,824,3/9/2017,13.02395833,0.607913391,507,2017,Abby,success,3,14.57220822,0.039161542,-1.548249889,1.090487735,0.157268439,-0.350487735,44.59453963,2.279745341,-13.59453963,3/9/2017,31,0.74,1.483371558,0.309004757,-0.420516921,36,Live,0.644564749,38,Live,0.644564749,64.45647493,3/9/2017,3/9/2017,6.9,6.778989229,0.237303326,0.121010771,1.675,2.502176038,0.073464228,-0.827176038,37.692298,0.134939,-0.034404
